x_m,P_hot,P_cold,T_hot_C,T_cold,T_cold_C,T_wall_hot_C,T_wall_cold,T_wall_cold_C,T_sat,T_sat_cold_C,DeltaT_actual,DeltaT_ONB,ONB_margin,q_flux,h_single_phase,h_subcooled,h_cold,cold_region,cold_quality,cold_phase,cold_cumulative_dP_Pa,cold_cumulative_dP_kPa
24.37044,14956125.495002368,5920361.017188162,309.0191046990723,547.8605003569122,274.71050035691223,298.9885596521641,551.5264725625256,278.3764725625256,547.8605003569122,274.71050035691223,3.6659722056133432,0.6506284456557976,3.0153437599575454,164896.69671710825,18223.21328856764,,45251.8382998296,Saturated Boiling,0.36909509448643457,boiling,79638.9828118396,79.6389828118396
24.888959999999997,14956935.81499407,5916698.066989998,309.3348827776673,547.8275318466353,274.67753184663536,299.18991418856217,551.4800010819142,278.33000108191425,547.8275318466353,274.67753184663536,3.652469235278886,0.6548338256119006,2.9976354096669855,166879.30485318397,18222.02801666608,,45896.98587562921,Saturated Boiling,0.3806623621254646,boiling,83301.93301000317,83.30193301000317
25.40748,14957746.663618691,5912876.249221889,309.65381951975996,547.7835539675946,274.6335539675946,299.3933134893151,551.4326626611049,278.28266266110495,547.7835539675946,274.6335539675946,3.6491086935103567,0.6590752074805748,2.990033486029782,168885.2066256814,18220.790877797856,,46562.20923230674,Saturated Boiling,0.39238229666306007,boiling,87123.75077811223,87.12375077811222
25.926,14958558.049869256,5908888.552016019,309.97603876726043,547.7395533605,274.5895533605001,299.597121480478,551.3793432972053,278.22934329720533,547.7395533605,274.5895533605001,3.639789936705256,0.6634082849047134,2.9763816518005424,170942.22546618182,18219.499814650884,,47250.933867936415,Saturated Boiling,0.40424005777464833,boiling,91111.44798398254,91.11144798398253
26.44452,14959369.983102927,5904728.579305073,310.30156118481943,547.6955299982383,274.5455299982383,299.8030153378003,551.3250511828811,278.17505118288113,547.6955299982383,274.5455299982383,3.62952118464284,0.6677799075953601,2.96174127704748,173023.71323935318,18218.152577297144,,47962.634864095555,Saturated Boiling,0.4162372548495636,boiling,95271.42069492835,95.27142069492835
26.96304,14960182.472874044,5900389.779228082,310.6304073736427,547.6404687545678,274.4904687545678,300.00935067633316,551.2646357453211,278.11463574532115,547.6404687545678,274.4904687545678,3.624166990753338,0.6722450373104653,2.9519219534428727,175157.7194480959,18216.746988382532,,48700.99965158981,Saturated Boiling,0.4283932100885651,boiling,99610.2207719196,99.6102207719196
27.481559999999998,14960995.528939862,5895864.454565149,310.9627017937379,547.5963940937792,274.4463940937792,300.2178101105518,551.2031278565993,278.0531278565993,547.5963940937792,274.4463940937792,3.606733762820113,0.6767514817467735,2.9299822810733396,177317.45803161955,18215.280651589674,,49465.8239152317,Saturated Boiling,0.440677533942699,boiling,104135.54543485254,104.13554543485253
28.00008,14961809.161447903,5891146.619756255,311.2983618940833,547.5412686407204,274.39126864072045,300.42839114144306,551.1404507782778,277.9904507782778,547.5412686407204,274.39126864072045,3.5991821375573636,0.6813001081297573,2.917882029427606,179503.52290532144,18213.751260231664,,50259.05220103125,Saturated Boiling,0.45312298763047576,boiling,108853.3802437463,108.8533802437463
28.5186,14962623.380583715,5886228.168118824,311.6375119675091,547.4861074410715,274.3361074410715,300.6394445098821,551.0714330948772,277.9214330948772,547.4861074410715,274.3361074410715,3.5853256538057394,0.6859458710317268,2.8993797827740124,181744.09132003953,18212.156435439367,,51084.92576765422,Saturated Boiling,0.4657174417756625,boiling,113771.83188117726,113.77183188117726
29.037119999999998,14963438.196938628,5881101.740536719,311.98017324905015,547.430910441309,274.28091044130906,300.8526512775801,551.0010993290551,277.85109932905516,547.430910441309,274.28091044130906,3.5701888877460988,0.690636997803997,2.8795518899421015,184012.415588199,18210.493566284993,,51943.87693466124,Saturated Boiling,0.4784627014405851,boiling,118898.25946328303,118.89825946328303
29.55564,14964253.621338325,5875759.79283613,312.3263669321018,547.3756775877828,274.2256775877828,301.0680089817489,550.9293734687875,277.7793734687875,547.3756775877828,274.2256775877828,3.553695881004728,0.6953749934801023,2.8583208875246258,186309.08410369157,18208.760129708295,,52838.574854362094,Saturated Boiling,0.4913606096848236,boiling,124240.20716387176,124.24020716387176
30.07416,14965069.664850183,5870194.590898182,312.6761141836645,547.3093507608554,274.15935076085543,301.28385440204636,550.8510250234897,277.7010250234897,547.3093507608554,274.15935076085543,3.541674262634274,0.7002140677122437,2.84146019492203,188662.63502845354,18206.95353499012,,53774.07560587657,Saturated Boiling,0.504427542296397,boiling,129805.40910181883,129.80540910181884
30.592679999999998,14965886.338790985,5864396.988774186,313.0295399124626,547.2429721338908,274.09297213389084,301.50021230226537,550.7659436009228,277.61594360092283,547.2429721338908,274.09297213389084,3.5229714670319936,0.7051561418510148,2.8178153251809785,191074.14961073973,18205.070919963844,,54753.85924525311,Saturated Boiling,0.5176536881671002,boiling,135603.0112258147,135.6030112258147
31.1112,14966703.65492472,5858358.703535895,313.3866661305767,547.1765416134515,274.0265416134515,301.7187647299286,550.6791589693125,277.52915896931256,547.1765416134515,274.0265416134515,3.502617355861048,0.7101506349772135,2.7924667208838345,193516.84608492843,18203.10932481137,,55779.760816095775,Saturated Boiling,0.5310410535925427,boiling,141641.296464106,141.641296464106
31.62972,14967521.625287587,5852071.237811046,313.747514885702,547.110059105833,273.960059105833,301.9395018089598,550.5905647784518,277.44056477845186,547.110059105833,273.960059105833,3.480505672618847,0.7151994756739013,2.7653061969449455,195991.49624406337,18201.065889899975,,56856.05299899385,Saturated Boiling,0.544591694281104,boiling,147928.76218895492,147.92876218895492
32.14824,14968340.262197185,5845525.8738419665,314.11210829829497,547.0435245170626,273.8935245170626,302.16241105480276,550.500045029906,277.350045029906,547.0435245170626,273.8935245170626,3.45652051284344,0.7203047174431008,2.736215795400339,198498.92819917365,18198.937675767094,,57987.581382987984,Saturated Boiling,0.5583077189503843,boiling,154474.12615803385,154.47412615803384
