node,x_m,T_hot_C,T_cold_C,dQ_W,U_W_m2K,h_hot_W_m2K,h_cold_W_m2K,Re_hot,Re_cold
43,17.434904296874997,677.9941782997164,491.36261889188415,9436.039250212045,19558.414177381215,2503880.6832744204,1370783.9052932414,21378216.76113132,88467276.19026403
44,17.8403671875,676.7995534142739,492.87254325832555,9299.357593316307,19558.564343670227,2503456.8207006357,1371649.1433637096,21397395.675310533,88359721.97857927
45,18.245830078125,675.6222308944334,494.36034838168405,9164.66627626157,19558.71208559853,2503038.640344189,1372501.859269305,21416337.018567186,88254014.60279211
46,18.65129296875,674.4619588247733,495.82636146864456,9031.936125708346,19558.857441375065,2502626.0715422328,1373342.2127581786,21435043.226976067,88150118.52417362
47,19.056755859375,673.3184889820628,497.27090491112483,8901.138394508407,19559.000448842515,2502219.0443614493,1374170.3632143752,21453516.72529705,88047998.97223109
48,19.462218749999998,672.1915767812727,498.6942963486383,8772.244755966867,19559.141145458056,2501817.4895947454,1374986.469522038,21471759.926615432,87947621.9277344
49,19.867681640624998,671.0809812223185,500.09684873065237,8645.227298136027,19559.279568276517,2501421.3387578097,1375790.6899412398,21489775.2319971,87848954.10594636
50,20.273144531249997,669.9864648375315,501.47887037886517,8520.058518144948,19559.415753935657,2501030.5240855557,1376583.1819947772,21507565.030158293,87751962.94010773
51,20.678607421874997,668.9077936398522,502.84066504933355,8396.711316568133,19559.549738643454,2500644.9785284405,1377364.1023650484,21525131.697149653,87656616.5651749
52,21.084070312499996,667.8447370717423,504.18253199438846,8275.158991836377,19559.68155816725,2500264.6357486807,1378133.6068003399,21542477.596054353,87562883.8018358
53,21.489533203125,666.7970679548063,505.5047660242817,8155.375234692518,19559.81124782449,2499889.4301163605,1378891.85002982,21559605.07669949,87470734.14080721
54,21.89499609375,665.7645624401201,506.8076575685137,8037.334122694509,19559.938842475054,2499519.2967054425,1379638.985686476,21576516.475381132,87380137.72740391
55,22.300458984375,664.7469999592593,508.0914927367962,7921.0101147680025,19560.0643765149,2499154.171289681,1380375.1662376337,21593214.114602,87291065.34641984
56,22.705921874999998,663.7441631760179,509.35655337960804,7806.378045810355,19560.187883871058,2498793.9903384508,1381100.5429222938,21609700.302821968,87203488.40729162
57,23.111384765624997,662.7558379388153,510.60311714830857,7693.4131213476685,19560.30939799771,2498438.6910124947,1381815.265694853,21625977.33422079,87117378.92955919
58,23.516847656249997,661.7818132337803,511.8314575547744,7582.0909122464045,19560.42895187337,2498088.2111595906,1382519.4831748866,21642047.48847301,87032709.52864847
59,23.922310546874996,660.8218811385082,513.041844030531,7472.387349480791,19560.546577998994,2497742.4893101365,1383213.3426022197,21657913.030534256,86949453.40192479
60,24.3277734375,659.8758367764807,514.2345419853531,7364.2787189571345,19560.66230839699,2497401.464672684,1383896.9897973246,21673576.21043942,86867584.3150854
61,24.733236328125,658.9434782721445,515.4098128653093,7257.741656395917,19560.776174610975,2497065.0771293854,1384570.569126119,21689039.263111528,86787076.58880453
62,25.13869921875,658.0246067066378,516.5679142102341,7152.753142272537,19560.88820770631,2496733.2672313955,1385234.2234693945,21704304.40818182,86707905.085721
63,25.544162109374998,657.1190260741597,517.7090997106056,7049.2904968172015,19560.99843827124,2496405.9761942094,1385888.094196187,21719373.84982019,86630045.19770736
64,25.949624999999997,656.2265432389736,518.8336192638166,6947.331375074625,19561.106896418634,2496083.1458929433,1386532.3211407233,21734249.776576012,86553472.83340958
65,26.355087890624997,655.3469678930363,519.9417190298242,6846.8537620238,19561.21361178827,2495764.7188575785,1387167.0425830826,21748934.36122903,86478164.40611856
66,26.760550781249997,654.480112514247,521.0336414861678,6747.83596775819,19561.318613549574,2495450.6382681406,1387792.3952327736,21763429.76064996,86404096.82188621
67,27.166013671874996,653.6257923253067,522.1096254823451,6650.256622726554,19561.42193040482,2495140.847949854,1388408.5142154747,21777738.11567068,86331247.46795772
68,27.571476562499996,652.7838252531807,523.169906293539,6554.094673034455,19561.523590592667,2494835.2923682383,1389015.533062319,21791861.55096355,86259594.20145564
69,27.976939453125,651.9540318891562,524.2147156736887,6459.329375806509,19561.623621892104,2494533.9166241833,1389613.5837018418,21805802.174929798,86189115.33836101
70,28.382402343749998,651.1362354494888,525.2442819079004,6365.940294609306,19561.722051626635,2494236.6664489885,1390202.7964540054,21819562.07959692,86119789.64272738
71,28.787865234374998,650.3302617366271,526.2588298641938,6273.907294934923,19561.818906668792,2493943.4881993625,1390783.3000266918,21833143.340524033,86051596.31620996
72,29.193328124999997,649.5359391010106,527.2585810445822,6183.21053974478,19561.914213444838,2493654.3288524,1391355.2215138196,21846548.016716078,85984514.98780178
73,29.598791015624997,648.7530984034316,528.2437536354843,6093.830485073714,19562.007997939734,2493369.1360005406,1391918.6863954763,21859778.150545802,85918525.70385559
74,30.004253906249996,647.9815729779536,529.214562557467,6005.74787569387,19562.100285702232,2493087.8578464924,1392473.8185396313,21872835.76768348,85853608.91834149
75,30.409716796874996,647.2211985953791,530.1712195143211,5918.943740838172,19562.191101850163,2492810.443198148,1393020.7402053848,21885722.877034493,85789745.48335055
76,30.8151796875,646.4718134272586,531.1139330414688,5833.399389982991,19562.28047107587,2492536.841463473,1393559.572047633,21898441.470684048,85726916.63983785
77,31.220642578125,645.7332580104335,532.0429085537071,5749.096408689561,19562.3684176517,2492267.0026453855,1394090.4331229609,21910993.523849137,85665104.00859025
78,31.626105468749998,645.0053752121058,532.9583483922876,5666.01665450374,19562.454965435692,2492000.877336626,1394613.4408967525,21923380.99483755,85604289.58142866
79,32.031568359374994,644.2880101954265,533.8604518713378,5584.1422529136835,19562.540137877233,2491738.416714602,1395128.7112513913,21935605.825013343,85544455.71263447
80,32.43703125,643.5810103855953,534.749415323626,5503.455593364861,19562.623958022836,2491479.5725362445,1395636.358495341,21947669.93876917,85485585.11057936
81,32.842494140625,642.8842254364652,535.6254321456745,5423.939325331962,19562.70644852199,2491224.2971328446,1396136.4953732241,21959575.243504725,85427660.82958175
82,33.247957031249996,642.1975071976441,536.4886928422266,5345.576354447136,19562.787631632986,2490972.543404888,1396629.2330766544,21971323.62961138,85370666.26196285
83,33.653419921875,641.5207096820865,537.3393850700697,5268.349838683984,19562.867529228806,2490724.2648168863,1397114.6812557569,21982916.970462747,85314585.13029641
84,34.058882812499995,640.8536890341672,538.1776936812239,5192.243184596818,19562.946162803022,2490479.4153922186,1397592.9480314737,21994357.122411106,85259401.47987482
85,34.464345703125,640.1963034982322,539.003800765497,5117.240043614461,19563.023553475683,2490237.9497079537,1398064.1400083543,22005645.924789168,85205099.67134811
86,34.869808593749994,639.5484133876172,539.817885692416,5043.324308388132,19563.099721999202,2489999.822889695,1398528.3622878434,22016785.19991747,85151664.37354596
87,35.275271484375,638.9098810541295,540.6201251525384,4970.480109192733,19563.17468876424,2489764.9906064193,1398985.7184822613,22027776.753116865,85099080.55651215
88,35.680734375,638.2805708579839,541.4106931981511,4898.69181038094,19563.248473805543,2489533.409065322,1399436.3107289046,22038622.37272593,85047333.48467094
89,36.086197265624996,637.660349138188,542.1897612833626,4827.9440068894555,19563.321096807776,2489305.035006677,1399880.2397048303,22049323.83012355,84996408.71021165
90,36.49166015625,637.0490841833697,542.9574983035958,4758.221520796829,19563.392577111317,2489079.8256986924,1400317.6046417276,22059882.879755825,84946292.06660482
91,36.897123046874995,636.4466462030389,543.7140706344878,4689.509397932208,19563.462933717983,2488857.738932394,1400748.5033412187,22070301.25916779,84896969.66230261
92,37.3025859375,635.8529072992798,544.4596421702041,4621.792904534333,19563.53218529676,2488638.7330165026,1401173.0321903804,22080580.689039346,84848427.87459418
93,37.708048828124994,635.2677414388646,545.1943743611733,4555.057523960203,19563.60035018943,2488422.7667723405,1401591.2861774534,22090722.873225566,84800653.34361158
94,38.11351171875,634.6910244257846,545.9184262512509,4489.288953442738,19563.667446416195,2488209.799528743,1402003.3589077336,22100729.49880086,84753632.96648754
95,38.51897460937499,634.1226338741899,546.6319545143178,4424.4731008967965,19563.733491681203,2487999.791116983,1402409.3426196987,22110602.236107226,84707353.89167134
96,38.924437499999996,633.5624491817349,547.3351134903222,4360.596081772897,19563.798503378035,2487792.701865723,1402809.3282011393,22120342.738806155,84661803.51337186
97,39.329900390625,633.0103515033204,548.0280552207704,4297.644215958046,19563.862498595132,2487588.492595972,1403203.4052054388,22129952.64393427,84616969.46614622
98,39.735363281249995,632.4662237252284,548.7109294836762,4235.604024722989,19563.92549412114,2487387.1246160753,1403591.6618679538,22139433.571962327,84572839.61962938
99,40.140826171875,631.9299504396427,549.3838838279736,4174.462227715266,19563.987506450205,2487188.5597167127,1403974.1851224222,22148787.126857698,84529402.07339124
100,40.546289062499994,631.4014179195501,550.0470636074019,4114.205739997447,19564.048551787197,2486992.760165918,1404351.0606173454,22158014.896149922,84486645.15191539
