cell,x_position,x_mid_m,T_hot,T_cold,T_sat,T_wall_hot,T_wall_cold,DeltaT_actual,DeltaT_ONB,ONB_margin,quality,Bo,RLL,P_reduced,rho_l,rho_g,sigma,G,h_fg,q_flux,x_di_raw,x_di,cold_region,h_single_phase,h_subcooled,h_hot,h_cold,P_hot,P_cold,h_hot_W_m2K,h_cold_W_m2K,U_W_m2K,q_W,q_flux_W_m2,T_hot_C,T_cold_C,x,CHF_region,T_wall_hot_C,T_wall_cold_C,T_sat_C,T_wall,R_wall_K_W,R_wall_area_m2K_W,wall_deltaT_conduction_C,dpdz_hot_Pa_m,dpdz_cold_Pa_m,dP_hot_cell_Pa,dP_cold_cell_Pa,cold_cumulative_dP_Pa,cold_cumulative_dP_kPa,phi2,Martinelli_X,cold_heat_transfer_correlation,pressure_drop_correlation
25,13.222259999999999,13.222259999999999,575.9728150692752,548.4299372382832,548.4299372382832,568.1963671450987,552.1370612116381,3.7071239733548964,0.5701566344414691,3.1369673389134274,0.14568793147389064,5.167840676459953e-05,17.279649742758885,0.2706473614329314,758.5236407712296,30.662263484268845,0.01990838048404269,1580.899425960735,1572546.1542221415,128474.44746768508,0.8367263206498112,0.8367263206498112,Saturated Boiling,18239.53525510092,,16520.968020407807,34656.09685327458,14938416.091647316,5971563.38265559,16520.968020407807,34656.09685327458,4664.525190723613,2511.3855419173487,128474.44746768508,302.8228150692752,275.2799372382832,0.14568793147389064,pre_CHF,295.04636714509877,278.9870612116381,275.2799372382832,278.9870612116381,0.0055188353233266915,0.000125,16.059305933460635,1544.0725945034976,2833.3158830260413,800.6325217019536,1469.130951666663,28436.617344410515,28.436617344410514,1.8142502514812946,1.1608268007597784,Shah boiling,Mishima-Hibiki
26,13.74078,13.74078,576.2255632328436,548.408105986289,548.408105986289,568.3618364359882,552.1153266745255,3.7072206882364753,0.5736163135079195,3.133604374728556,0.15467850812754486,5.227635766178817e-05,17.074580182981855,0.27058077645506395,758.5612097113474,30.651114792016664,0.01991346892450447,1580.899425960735,1572680.4946185525,129972.07809170109,0.8362087823638218,0.8362087823638218,Saturated Boiling,18239.050876510795,,16528.051069077694,35059.169394505974,14939216.724169018,5970094.251703924,16528.051069077694,35059.169394505974,4672.320584146822,2540.6608411727316,129972.07809170109,303.0755632328436,275.258105986289,0.15467850812754486,pre_CHF,295.2118364359882,278.9653266745255,275.258105986289,278.9653266745255,0.0055188353233266915,0.000125,16.246509761462637,1544.7886360902621,2938.10732349976,801.0038035855226,1523.4674093810954,29905.748296077178,29.905748296077178,1.916557965789143,1.0912129778791544,Shah boiling,Mishima-Hibiki
27,14.2593,14.2593,576.480939767884,548.3971882654502,548.3971882654502,568.532331860579,552.1033158366191,3.706127571168963,0.5769769680244677,3.1291506031444953,0.16374280933569502,5.2861349745809626e-05,16.878174533178104,0.2705117288023545,758.5799958236918,30.645540803178122,0.019916013661040923,1580.899425960735,1572747.6696098628,131432.12819167948,0.835725280902625,0.835725280902625,Saturated Boiling,18238.548547399514,,16535.23858824241,35463.46575172733,14940017.727972602,5968570.784294543,16535.23858824241,35463.46575172733,4680.00609463764,2569.201525984651,131432.12819167948,303.33093976788405,275.2471882654502,0.16374280933569502,pre_CHF,295.38233186057903,278.95331583661914,275.2471882654502,278.95331583661914,0.0055188353233266915,0.000125,16.429016023959935,1545.515872148019,3049.462388533184,801.3808900261909,1581.2072377022264,31429.21570545827,31.429215705458272,2.0271081320949573,1.028326416928896,Shah boiling,Mishima-Hibiki
28,14.777819999999998,14.777819999999998,576.7388587208926,548.375348632028,548.375348632028,568.7013535093506,552.0812700337245,3.7059214016965143,0.5804764661165682,3.125444935579946,0.17293629781806175,5.34715527271574e-05,16.678335726791303,0.2704400642248662,758.6175713350387,30.634393539906732,0.019921104167195086,1580.899425960735,1572882.0291852504,132960.6678050084,0.8352169102332297,0.8352169102332297,Saturated Boiling,18238.027141518072,,16542.529591654296,35877.89739527076,14940819.10886263,5966989.577056841,16542.529591654296,35877.89739527076,4687.736721880845,2599.0810262341283,132960.6678050084,303.58885872089263,275.22534863202804,0.17293629781806175,pre_CHF,295.55135350935063,278.93127003372456,275.22534863202804,278.93127003372456,0.0055188353233266915,0.000125,16.62008347562605,1546.2542005068137,3168.640812007142,801.7637280467931,1643.0036338419432,33010.4229431605,33.0104229431605,2.147532427929293,0.9707105188999319,Shah boiling,Mishima-Hibiki
29,15.29634,15.29634,576.9994419262437,548.3535034068634,548.3535034068634,568.8721929776256,552.0590188072069,3.705515400343529,0.5839972069737395,3.1215181933697895,0.18223446724314457,5.408815982181038e-05,16.48106597864086,0.2703655988680025,758.6551512313796,30.623247228950525,0.019926196051418238,1580.899425960735,1573016.4015597394,134505.39336334902,0.834713404890394,0.834713404890394,Saturated Boiling,18237.48531669821,,16549.92903671541,36298.70040504446,14941620.872590676,5965346.573422999,16549.92903671541,36298.70040504446,4695.443763252865,2629.276925184561,134505.39336334902,303.8494419262437,275.20350340686343,0.18223446724314457,pre_CHF,295.7221929776256,278.90901880720696,275.20350340686343,278.90901880720696,0.0055188353233266915,0.000125,16.813174170418627,1547.0041184890617,3295.269531010932,802.1525755189483,1708.6631572197884,34653.42657700244,34.65342657700244,2.278043124366964,0.9179308612394583,Shah boiling,Mishima-Hibiki
30,15.81486,15.81486,577.2627080474351,548.3425786963458,548.3425786963458,569.0480830453871,552.0464389642551,3.703860267909363,0.5874222670309965,3.1164380008783663,0.19161073973499212,5.4692133365292365e-05,16.291888575914534,0.2702881576444156,758.6739428249674,30.617674430505993,0.019928742510541067,1580.899425960735,1573083.59254993,136013.15264905617,0.8342438267648974,0.8342438267648974,Saturated Boiling,18236.921793965354,,16557.439032840262,36721.99889058756,14942423.025166195,5963637.910265779,16557.439032840262,36721.99889058756,4703.0616978873495,2658.750216920406,136013.15264905617,304.11270804743515,275.1925786963458,0.19161073973499212,pre_CHF,295.8980830453871,278.89643896425514,275.1925786963458,278.89643896425514,0.0055188353233266915,0.000125,17.00164408113202,1547.7658342099646,3428.777411026336,802.5475403545508,1777.8896631653756,36362.08973422223,36.36208973422223,2.418691665031363,0.8696030239403991,Shah boiling,Mishima-Hibiki
31,16.33338,16.33338,577.5285715744251,548.3207250773738,548.3207250773738,569.2225090397341,552.023707307496,3.7029822301221884,0.5909865460995392,3.1119956840226495,0.2011182727494394,5.5321638295994945e-05,16.09954641707639,0.2702075788888334,758.7115293050689,30.606529547514608,0.01993383646328053,1580.899425960735,1573217.9841427607,137590.41385790452,0.8337506137005019,0.8337506137005019,Saturated Boiling,18236.33539139817,,16565.058748744847,37156.64977775578,14943225.57270655,5961860.020602614,16565.058748744847,37156.64977775578,4710.734626457149,2689.5821144206866,137590.41385790452,304.3785715744251,275.17072507737385,0.2011182727494394,pre_CHF,296.0725090397341,278.87370730749603,275.17072507737385,278.87370730749603,0.0055188353233266915,0.000125,17.198801732238067,1548.539255894043,3570.6723288900084,802.9485749661791,1851.4650159760472,38139.97939738761,38.139979397387606,2.5715459905827625,0.824784401520312,Shah boiling,Mishima-Hibiki
32,16.8519,16.8519,577.7971547175623,548.2988658583969,548.2988658583969,569.3987718722165,552.0006889162779,3.701823057881029,0.5945739106426643,3.1072491472383645,0.21073379571458473,5.5957865326033735e-05,15.909629987465632,0.2701236654997845,758.7491201785272,30.59538561616124,0.019938931795973728,1580.899425960735,1573352.3885609554,139184.66364750857,0.8332628652076552,0.8332628652076552,Saturated Boiling,18235.72466851935,,16572.79338303098,37598.95096854801,14944028.521281516,5960008.555586638,16572.79338303098,37598.95096854801,4718.397881043952,2720.7461003395474,139184.66364750857,304.64715471756233,275.1488658583969,0.21073379571458473,pre_CHF,296.2487718722165,278.85068891627793,275.1488658583969,278.85068891627793,0.0055188353233266915,0.000125,17.398082955938573,1549.3249010935137,3720.485655932971,803.3559477150087,1929.146222314364,39991.44441336366,39.99144441336366,2.7368982174141845,0.7832662158682816,Shah boiling,Mishima-Hibiki
33,17.37042,17.37042,578.0684764586513,548.2770010361044,548.2770010361044,569.5768786660844,551.977357336021,3.7003562999166206,0.5981849816834842,3.1021713182331365,0.22045846114305792,5.6600920704845894e-05,15.722095156756966,0.27003623138891086,758.7867154486925,30.584242636175013,0.019944028509375832,1580.899425960735,1573486.8058150348,140796.17064050786,0.8327807965241701,0.8327807965241701,Saturated Boiling,18235.088264237624,,16580.645254271676,38049.3550428328,14944831.87722923,5958079.409364323,16580.645254271676,38049.3550428328,4726.055646574318,2752.2474256434375,140796.17064050786,304.9184764586513,275.1270010361044,0.22045846114305792,pre_CHF,296.42687866608446,278.827357336021,275.1270010361044,278.827357336021,0.0055188353233266915,0.000125,17.59952133006348,1550.1229938305714,3878.385861834365,803.7697747610279,2011.0206370783549,41920.59063567802,41.92059063567802,2.915707494783149,0.7446848882619185,Shah boiling,Mishima-Hibiki
34,17.888939999999998,17.888939999999998,578.3425558550118,548.2551306071829,548.2551306071829,569.7568367079655,551.9536861444293,3.6985555372464205,0.6018203870546784,3.096735150191742,0.23029343981116618,5.72509110667826e-05,15.536899383237422,0.2699450865086952,758.8243151189172,30.573100607285223,0.019949126604242577,1580.899425960735,1573621.2359155293,142425.20450828935,0.8323046297100407,0.8323046297100407,Saturated Boiling,18234.424787834992,,16588.616756382697,38508.33198906782,14945635.647003992,5956068.388727245,16588.616756382697,38508.33198906782,4733.711952257081,2784.0913617994515,142425.20450828935,305.19255585501185,275.1051306071829,0.23029343981116618,pre_CHF,296.6068367079655,278.8036861444293,275.1051306071829,278.8036861444293,0.0055188353233266915,0.000125,17.803150563536168,1550.9337637411818,4044.5465775420653,804.1901751750776,2097.1782913871116,43931.611272756374,43.93161127275637,3.1090227862139233,0.7087288779641324,Shah boiling,Mishima-Hibiki
