x_m,T_hot_C,T_cold_C,cold_superheat_C,H_hot_Jkg,H_cold_Jkg,quality,cold_phase
1.3,534.7927416476207,263.94072195416504,0.0,3408867.085658631,2347348.910784529,0.727454127872938,boiling
1.35,533.2822682103566,263.94072195416504,0.0,3404703.5932273334,2331023.549656572,0.7174969909045154,boiling
1.4000000000000001,531.7827440353827,263.94072195416504,0.0,3400562.902220837,2314618.9580503786,0.707491529815255,boiling
1.4500000000000002,530.2940960135868,263.94072195416504,0.0,3396444.83288126,2298134.5091689904,0.6974373623102034,boiling
1.5,528.816251380534,263.94072195416504,0.0,3392349.206842438,2281569.5710594794,0.687334102949687,boiling
1.55,527.3491377167383,263.94072195416504,0.0,3388275.8471214995,2264923.5065742857,0.6771813631257315,boiling
1.6,525.8926829479024,263.94072195416504,0.0,3384224.578110446,2248195.673332406,0.6669787510383891,boiling
1.6500000000000001,524.4468153451302,263.94072195416504,0.0,3380195.225567728,2231385.423680435,0.6567258716719773,boiling
1.7000000000000002,523.011463525108,263.94072195416504,0.0,3376187.6166098164,2214492.104653457,0.6464223267712267,boiling
1.75,521.5865564502562,263.94072195416504,0.0,3372201.5797027834,2197515.057935804,0.6360677148173451,boiling
1.8,520.1720234288558,263.94072195416504,0.0,3368236.944653874,2180453.619821662,0.6256616310039922,boiling
1.85,518.7677941151427,263.94072195416504,0.0,3364293.542603087,2163307.121175549,0.6152036672131733,boiling
1.9000000000000001,517.3737985093766,263.94072195416504,0.0,3360371.206014761,2146074.887392652,0.6046934119910489,boiling
1.9500000000000002,515.9899669578883,263.94072195416504,0.0,3356469.768669156,2128756.2383590336,0.5941304505236625,boiling
2.0,514.6162301530928,263.94072195416504,0.0,3352589.065654053,2111350.4884117073,0.5835143646125923,boiling
2.0500000000000003,513.2525191334789,263.94072195416504,0.0,3348728.9333563494,2093856.946298588,0.5728447326505218,boiling
2.1,511.8987652835805,263.94072195416504,0.0,3344889.2094536694,2076274.9151383168,0.5621211295967375,boiling
2.15,510.5549003339139,263.94072195416504,0.0,3341069.7329059793,2058603.6923799643,0.551343126952551,boiling
2.2,509.2208563608957,263.94072195416504,0.0,3337270.343947214,2040842.569762617,0.5405102927366501,boiling
2.25,507.8965657867393,263.94072195416504,0.0,3333490.884076913,2022990.8332748474,0.5296221914603785,boiling
2.3000000000000003,506.5819613793236,263.94072195416504,0.0,3329731.1960518686,2005047.7631140738,0.5186783841029486,boiling
2.35,505.27697625204314,263.94072195416504,0.0,3325991.1238777875,1987012.6336458107,0.5076784280865883,boiling
2.4000000000000004,503.98154386363285,263.94072195416504,0.0,3322270.5128009627,1968884.7133628149,0.49662187725162243,boiling
2.45,502.69559801797504,263.94072195416504,0.0,3318569.209299962,1950663.2648441293,0.4855082818314938,boiling
2.5,501.4190728638845,263.94072195416504,0.0,3314887.061077331,1932347.5447140294,0.4743371884277231,boiling
