x_m,P_hot_MPa,P_cold_MPa,cold_cumulative_dP_kPa,T_hot_C,T_cold_C,T_sat_cold_C,cold_superheat_C,H_hot_Jkg,H_cold_Jkg,H_f_cold_Jkg,H_g_cold_Jkg,H_fg_cold_Jkg,quality,cold_phase
2.4000000000000004,14.741813497656478,4.995265529600548,4.734470399454358,483.4035229158135,263.88151805554264,263.88151805554264,0.0,3265758.8563736263,2275449.6110369535,1154344.4181518601,2794244.3285529255,1639899.9104010654,0.6836424502339952,boiling
2.45,14.736970210925055,4.995517356136463,4.482643863539871,481.72377410512604,263.8846681909081,263.8846681909081,0.0,3260835.9014415396,2251331.340062642,1154360.2227641898,2794242.2516949475,1639882.0289307577,0.6689329463618207,boiling
2.5,14.73214654590995,4.995760062236517,4.239937763485605,480.0608696416141,263.8877041225775,263.8877041225775,0.0,3255946.551127455,2227050.0944634075,1154375.454513863,2794240.249877332,1639864.7953634688,0.6541238295879088,boiling
2.5500000000000003,14.727342360467324,4.995993752612942,4.006247387060138,478.4146023814951,263.89062717300476,263.89062717300476,0.0,3251090.302007608,2202603.3428929844,1154390.1200236,2794238.322255963,1639848.202232363,0.639213569550174,boiling
2.6,14.722557514348079,4.996218535269686,3.78146473031597,476.78476472550085,263.8934387051562,263.8934387051562,0.0,3246266.647812746,2177988.5682325517,1154404.226120013,2794236.4679585514,1639832.2418385383,0.6242006444298972,boiling
2.6500000000000004,14.717791869215848,4.996434521664265,3.565478335736317,475.17114834365054,263.8961401245456,263.8961401245456,0.0,3241475.078411835,2153203.2632104564,1154417.7798438305,2794234.686083315,1639816.9062394844,0.6090835382695827,boiling
2.7,14.71304528866908,4.996641826874287,3.3581731257145573,473.5735438512892,263.89873288132856,263.89873288132856,0.0,3236715.078626296,2128244.9266069797,1154430.7884603536,2794232.975697624,1639802.1872372704,0.5938607386463503,boiling
2.75,14.708317638267934,4.9968405697694225,3.159430230578672,471.9917404257584,263.9012184724654,263.9012184724654,0.0,3231986.126837688,2103111.059951267,1154443.2594703357,2794231.3358365986,1639788.076366263,0.5785307346441743,boiling
2.8000000000000003,14.703608785566821,4.997030873189641,2.9691268103596054,470.42552535001323,263.90359844396244,263.90359844396244,0.0,3227287.6933414037,2077799.1646357675,1154455.2006211877,2794229.765501662,1639774.5648804745,0.5630920150794531,boiling
2.85,14.698918600153723,4.997212864130527,2.7871358694727686,468.8746834655158,263.90587439320177,263.90587439320177,0.0,3222619.238385121,2052306.7393879353,1154466.619918679,2794228.263659023,1639761.6437403443,0.5475430669431057,boiling
2.9000000000000004,14.694246953697531,4.997386673936565,2.6133260634358524,467.33899651124807,263.90804797137184,263.90804797137184,0.0,3217980.209812018,2026631.2780505032,1154477.5256390974,2794226.829238108,1639749.3035990105,0.5318823740294664,boiling
2.95,14.689593720005115,4.997552438503318,2.4475614966828565,465.8182423182358,263.91012088600826,263.91012088600826,0.0,3213370.040203075,2000770.2676309806,1154487.9263419975,2794225.461129907,1639737.5347879096,0.5161084157279139,boiling
3.0,14.68495877509021,4.997710298489548,2.2897015104523275,464.31219381847154,263.9120949036608,263.9120949036608,0.0,3208788.1433769716,1974721.1865887342,1154497.8308835719,2794224.1581852464,1639726.3273016745,0.5002196659578662,boiling
3.0500000000000003,14.680341997256788,4.997860399540376,2.139600459624745,462.820617812346,263.9139718526975,263.9139718526975,0.0,3204233.9100553575,1948481.5033344496,1154507.2484306959,2794222.9192129737,1639715.6707822778,0.48421459223169067,boiling
3.1,14.675743267200449,4.998002892522744,1.9971074772565691,461.34327341719495,263.9157536262629,263.9157536262629,0.0,3199706.702427997,1922048.674922282,1154516.1884757674,2794221.742978022,1639705.5545022546,0.46809165483342235,boiling
3.1500000000000004,14.671162468132426,4.998137933774598,1.8620662254021023,459.8799100879396,263.9174421854093,263.9174421854093,0.0,3195205.847244313,1895420.145919844,1154524.6608523969,2794220.628199392,1639695.9673469951,0.45184930610411,boiling
3.2,14.666599485932364,4.998265685369377,1.734314630623062,458.4302650529313,263.9190395624188,263.9190395624188,0.0,3190730.626894916,1868593.3474455804,1154532.6757520633,2794219.5735479835,1639686.8977959203,0.4354859898273036,boiling
3.25,14.66205420933836,4.998386315397648,1.6136846023517104,456.99405993386097,263.9205478643397,263.9205478643397,0.0,3186280.2676942176,1841565.696367245,1154540.2437418383,2794218.5776442885,1639678.3339024503,0.41900014071069624,boiling
3.3000000000000003,14.657526530185926,4.998499998268014,1.5000017319861443,455.57099619979624,263.92196927676525,263.92196927676525,0.0,3181853.9241719944,1814334.5946593226,1154547.3757833506,2794217.6390559482,1639670.2632725977,0.40239018396242116,boiling
3.35,14.653016343712707,4.998606915029757,1.393084970241992,454.16074890852724,263.9233060678838,263.9233060678838,0.0,3177450.6575145037,1786897.428921569,1154554.08325306,2794216.756295098,1639662.673042038,0.3856545349631782,boiling
3.4000000000000004,14.648523548953456,4.998707253720155,1.292746279844883,452.7629578482814,263.924560592838,263.924560592838,0.0,3173069.405145007,1759251.57006559,1154560.3779641439,2794215.927815529,1639655.5498513852,0.36879159903813585,boiling
3.45,14.644048049262507,4.998801209739902,1.1987902600974962,451.3772145754084,263.92573529843435,263.92573529843435,0.0,3168708.936348081,1731394.3731819105,1154566.272190097,2794215.1520096217,1639648.8798195247,0.35179977133598545,boiling
3.5,14.63958975302238,4.99888898626084,1.1110137391596162,450.0030426527493,263.9268327282597,263.9268327282597,0.0,3164367.784827045,1703323.1776066658,1154571.778690385,2794214.4272049954,1639642.6485146105,0.33467743682649825,boiling
3.5500000000000003,14.635148574635464,4.998970794671007,1.0292053289918774,448.63986591553726,263.9278555282614,263.9278555282614,0.0,3160044.140745622,1675035.307215513,1154576.910738446,2794213.751660871,1639636.8409224248,0.31742297043305523,boiling
3.6,14.630724435969134,4.9990468550632325,0.9531449367669582,447.28695390278176,263.92880645287426,263.92880645287426,0.0,3155735.6656991527,1646528.070983414,1154581.6821523842,2794213.12356405,1639631.4414116659,0.30003473732333474,boiling
3.6500000000000004,14.626317268578543,4.99911739677495,0.8826032250501304,445.9433186523171,263.92968837178705,263.92968837178705,0.0,3151439.143993693,1617798.7638638688,1154586.107328937,2794212.541024499,1639626.4336955622,0.2825110933902758,boiling
3.7,14.621927017395993,4.999182658988945,0.8173410110544115,444.6074892111782,263.9305042774703,263.9305042774703,0.0,3147149.7236392214,1588844.6680618925,1154590.2012812048,2794212.0020704037,1639621.8007891988,0.2648503859680739,boiling
3.75,14.617553647614615,4.999242891407424,0.7571085925755185,443.2768749203118,263.9312572936228,263.9312572936228,0.0,3142858.7825751025,1559663.0548046003,1154593.9796810371,2794211.5046426384,1639617.5249616012,0.2470509548457343,boiling
3.8000000000000003,14.613197160559071,4.99929835501551,0.7016449844893399,441.9438426436459,263.931950684733,263.931950684733,0.0,3138540.8667199323,1530251.1867566449,1154597.4589069732,2794211.0465884833,1639613.58768151,0.22911113366708769,boiling
3.85,14.6088576646326,4.999349322955551,0.6506770444485771,441.3592964035237,263.93258786702836,263.93258786702836,0.0,3136687.2952455487,1500606.3212933552,1154600.6560991749,2794210.625654434,1639609.969555259,0.21102925184581164,boiling
3.9000000000000004,14.604524755835008,4.999396081541167,0.6039184588328006,440.78974709440126,263.9331724211696,263.9331724211696,0.0,3134880.0431083967,1470725.7149468975,1154603.589223109,2794210.239477854,1639606.6502547453,0.19280363718619506,boiling
3.95,14.600198240691897,4.999438931451278,0.5610685487210951,440.2345187932825,263.93370810719534,263.93370810719534,0.0,3133117.1098015136,1440606.6295069633,1154606.2771444984,2794209.885577137,1639603.6084326387,0.17443261950116334,boiling
4.0,14.595877934195107,4.999478189161727,0.5218108382725137,439.6930092735828,263.9341988824359,263.9341988824359,0.0,3131396.7211227147,1410246.3405388796,1154608.73971922,2794209.561339915,1639600.8216206948,0.15591453568983318,boiling
4.05,14.591563658841473,4.999514188700001,0.4858112999988385,439.1646762136007,263.9346489234664,263.9346489234664,0.0,3129717.2858118084,1379642.1495837553,1154610.9979034215,2794209.2640085802,1639598.2661051587,0.13724773704164248,boiling
