node,x_m,T_hot_C,T_cold_C,dQ_W,U_W_m2K,h_hot_W_m2K,h_cold_W_m2K,Re_hot,Re_cold
90,0.9,745.1079618454611,406.2197411702083,416.42778053578206,19550.044818215003,2526268.463689675,1324613.6151524154,20392965.96019973,94764330.04604831
91,0.91,745.0544866789744,406.28772844787386,416.27867044853554,19550.051564820536,2526250.820248706,1324649.4387528517,20393721.41057732,94758880.66262507
92,0.92,745.0010306592725,406.3556913397522,416.1296137096515,19550.058309500495,2526233.1823236127,1324685.2539799518,20394476.65723898,94753433.74198106
93,0.93,744.9475937795057,406.42362985398984,415.9806103007832,19550.06505225388,2526215.5499129207,1324721.0608279936,20395231.700219125,94747989.28306107
94,0.9400000000000001,744.8941760328267,406.4915439987319,415.83166020358817,19550.071793079696,2526197.9230151507,1324756.8592912094,20395986.53955211,94742547.28479916
95,0.9500000000000001,744.8407774123906,406.5594337821225,415.68276339972795,19550.078531976935,2526180.301628826,1324792.6493638565,20396741.175272312,94737107.7461301
96,0.96,744.7873979113548,406.62729921230425,415.5339198708691,19550.085268944615,2526162.6857524714,1324828.4310402703,20397495.607414164,94731670.6659993
97,0.97,744.734037522879,406.6951402974187,415.38512959868297,19550.092003981757,2526145.0753846085,1324864.2043147653,20398249.836012017,94726236.04334505
98,0.98,744.6806962401255,406.7629570456062,415.23639256484415,19550.09873708736,2526127.4705237583,1324899.969181631,20399003.861100294,94720803.87709792
99,0.99,744.6273740562585,406.83074946500574,415.08770875103284,19550.105468260455,2526109.87116845,1324935.725635249,20399757.68271345,94715374.16620155
100,1.0,744.5740709644451,406.89851756375526,414.9390781389331,19550.11219750007,2526092.2773172045,1324971.4736699704,20400511.30088588,94709946.90959078
