cell,x_hot_mid_m,x_cold_mid_m,h_hot_W_m2K,h_cold_W_m2K,U_W_m2K,q_W,q_flux_W_m2,T_wall_hot_side_C,T_wall_cold_side_C,T_wall_mean_C,dP_hot_Pa,dpdz_cold_Pa_m,dP_cold_cell_Pa,cold_cumulative_dP_kPa,f_hot,f_cold,Re_hot,Re_cold,Re_cold_liquid,Re_cold_vapor,phi_f2_cold,X_cold,cold_two_phase_dp_model,cold_correlation,cold_temperature_change
30,1.525,3.475,17595.885580236165,72920.40793304883,5113.911101116821,131.4328117889068,69727.27226890417,290.58221886228523,281.86630982867223,286.2242643454787,89.97535881330141,42121.273506038546,2106.0636753019276,65.24532901481095,0.015107567707796926,0.009689944944199903,192383.44708747236,1136738.7407664806,1136738.7407664806,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
31,1.5750000000000002,3.4250000000000003,17591.848247551436,72924.15797313699,5113.588466752096,129.74387395582397,68831.26291987069,290.4824787381184,281.87857087313455,286.18052480562653,89.95409269197968,42122.88743278338,2106.144371639169,67.35147338645012,0.015110048710026984,0.009689653462399705,192257.1242074948,1136875.52733247,1136875.52733247,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
32,1.625,3.375,17587.866870283764,72927.86502735243,5113.270232810262,128.07606130704465,67946.4608291893,290.38397303136674,281.8906654277181,286.1373192295424,89.93314668939233,42124.4826345306,2106.2241317265302,69.45769751817666,0.015112498261906438,0.009689365520254657,192132.50435900292,1137010.673011409,1137010.673011409,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
33,1.6750000000000003,3.325,17583.940597230514,72931.52960813865,5112.956334587607,126.42912693219155,67072.73500683652,290.28668761201527,281.9025957361606,286.09464167408794,89.91251550834009,42126.059329654934,2106.302966482747,71.5640004846594,0.01511491675150908,0.009689081073219308,192009.563833958,1137144.1979783687,1137144.1979783687,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
34,1.725,3.2750000000000004,17580.068593114138,72935.15222253517,5112.646708543921,124.80282629146868,66209.95572042132,290.1906084763758,281.9143640113232,286.05248624384956,89.8921939511018,42127.6177343813,2106.380886719065,73.67038137137847,0.015117304562271781,0.00968880007727724,191888.27927951422,1137276.1221809972,1137276.1221809972,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
35,1.775,3.225,17576.250038173395,72938.73337221754,5112.341292273311,123.19691720937146,65357.994491848185,290.0957217471207,281.92597243563966,286.01084709138024,89.87217691727679,42129.15806279594,2106.457903139797,75.77683927451827,0.015119662073051522,0.009688522488935517,191768.6276917972,1137406.4653415885,1137406.4653415885,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
36,1.8250000000000002,3.1750000000000003,17572.484127769825,72942.27355353271,5112.040024476093,121.61115986820236,64516.72409387711,290.0020136732703,281.93742316153566,285.969718417403,89.85245940168504,42130.68052685499,2106.5340263427493,77.88337330086101,0.015121989658180957,0.009688248265219638,191650.58640984874,1137535.246958927,1137535.246958927,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
37,1.875,3.125,17568.770072006908,72945.77325753978,5111.7428449315985,120.04531680036193,63686.01854603383,289.909470630128,281.9487183118738,285.9290944710009,89.83303649231593,42132.185336395916,2106.6092668197957,79.98998256768081,0.015124287687523483,0.009687977363668072,191534.13310968445,1137662.4863103395,1137662.4863103395,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
38,1.9250000000000003,3.075,17565.107095361655,72949.23297004773,5111.449694471846,118.4991528805799,62865.753110488324,289.8180791191784,281.95985998036736,285.8889695497729,89.81390336832894,42133.672699148214,2106.683634957411,82.09666620263822,0.015126556526527356,0.009687709742326992,191419.24579848783,1137788.2024536643,1137788.2024536643,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
39,1.975,3.0250000000000004,17561.494436329704,72952.65317165361,5111.160514956195,116.9724353173772,62055.80428752525,289.7278257679352,281.9708502319945,285.84933799996486,89.79505529810562,42135.142820743866,2106.7571410371934,84.20342334367541,0.01512879653627867,0.00968744535974514,191305.90280894437,1137912.4142291741,1137912.4142291741,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
