position_m,T_hot_K,T_hot_C,T_cold_K,T_cold_C,h_cold_J_kg,x_cold
1.6,566.983481739813,293.833481739813,500.6738240388508,227.52382403885082,979083.9792596914,0.0
1.6500000000000001,566.7176678698063,293.5676678698063,502.1971945967352,229.0471945967352,986173.5402365167,0.0
1.7000000000000002,566.4585144548233,293.30851445482335,503.6771054693397,230.52710546933974,993078.2192240009,0.0
1.75,566.2058636945379,293.05586369453795,505.1148186034039,231.9648186034039,999802.8111370805,0.0
1.8,565.959560460401,292.80956046040103,506.51156305228005,233.36156305228008,1006352.0019514604,0.0
1.85,565.7194523630277,292.5694523630277,507.8685352625692,234.71853526256922,1012730.3691337209,0.0
1.9000000000000001,565.4853898052577,292.3353898052577,509.1868994315837,236.03689943158372,1018942.3823333136,0.0
1.9500000000000002,565.2572260223819,292.10722602238195,510.46778792511645,237.31778792511648,1024992.4043015983,0.0
2.0,565.0348171108902,291.88481711089025,511.7123017468184,238.56230174681843,1030884.6920067827,0.0
2.0500000000000003,564.8180220469728,291.66802204697285,512.921511050798,239.77151105079804,1036623.3979168938,0.0
2.1,564.6067026958935,291.45670269589357,514.0964556903766,240.94645569037664,1042212.5714259201,0.0
2.15,564.4007238132483,291.2507238132483,515.2381457964449,242.0881457964449,1047656.160400927,0.0
2.2,564.1999530390297,291.0499530390297,516.3475623798117,243.19756237981176,1052958.0128303766,0.0
2.25,564.0042608853299,290.85426088532995,517.4256579523943,244.27565795239434,1058121.8785560434,0.0
2.3000000000000003,563.813520718438,290.663520718438,518.4733571628125,245.3233571628125,1063151.411072877,0.0
2.35,563.6276087360123,290.47760873601237,519.4915574423696,246.34155744236966,1068050.1693829182,0.0
2.4000000000000004,563.4464039399483,290.2964039399483,520.481129657976,247.33112965797602,1072821.6198909492,0.0
2.45,563.2697881054975,290.1197881054975,521.4429187688794,248.29291876887942,1077469.138330983,0.0
2.5,563.0976457471435,289.9476457471435,522.3777444845623,249.22774448456232,1081996.0117139625,0.0
2.5500000000000003,562.9298640816882,289.7798640816882,523.2864019213924,250.13640192139246,1086405.4402881877,0.0
2.6,562.7663329889589,289.6163329889589,524.1696622560264,251.01966225602644,1090700.539505012,0.0
2.6500000000000004,562.6069449705057,289.4569449705057,525.0282733737239,251.8782733737239,1094884.3419832683,0.0
2.7,562.4515951066207,289.30159510662077,525.8629605100961,252.71296051009608,1098959.7994667105,0.0
2.75,562.300181011978,289.150181011978,526.6744268849216,253.52442688492158,1102929.7847694939,0.0
2.8000000000000003,562.1526027901613,289.0026027901613,527.4633543269334,254.31335432693345,1106797.0937053743,0.0
2.85,562.008762987321,288.85876298732103,528.2304038886203,255.08040388862037,1110564.4469969058,0.0
2.9000000000000004,561.8685665451744,288.71856654517444,528.9762164502322,255.8262164502322,1114234.4921614344,0.0
2.95,561.7319207535409,288.5819207535409,529.7014133123483,256.55141331234836,1117809.8053711664,0.0
3.0,561.598735202584,288.448735202584,530.4065967764781,257.2565967764781,1121292.893285007,0.0
3.0500000000000003,561.4689217349128,288.3189217349128,531.0923507132478,257.94235071324783,1124686.194850237,0.0
3.1,561.3423943976778,288.19239439767784,531.7592411178535,258.60924111785357,1127992.083072437,0.0
3.1500000000000004,561.2190693947807,288.06906939478074,532.4078166525594,259.2578166525594,1131212.8667523602,0.0
3.2,561.0988650393049,287.9488650393049,533.0386091760171,259.8886091760171,1134350.7921887205,0.0
3.25,560.9817017062594,287.8317017062594,533.6521342593715,260.5021342593715,1137408.0448460986,0.0
3.3000000000000003,560.8675017857186,287.7175017857186,534.2488916890558,261.0988916890558,1140386.750987372,0.0
